Timestamp,Active Lane,Vehicle Count,Allocated Green Duration (s)
2026-08-19 07:48:32,North,0,20
2026-08-19 07:48:52,East,0,20
2026-08-19 07:49:12,South,0,20
2026-08-19 07:49:30,North,0,20
2026-08-19 07:49:50,East,0,20
2026-08-19 07:50:10,South,0,20
2026-08-19 07:50:30,West,0,20
2026-08-19 07:50:50,North,8,60
2026-08-19 07:51:50,East,0,20
2026-08-19 07:52:11,South,0,20
2026-08-19 07:52:31,West,0,20
2026-08-19 07:52:51,North,8,60
2026-08-19 07:53:51,East,0,20
2026-08-19 07:54:11,South,0,20
2026-08-19 07:54:31,West,0,20
2026-08-19 07:54:51,North,8,60
2026-08-19 08:02:21,East,0,20
2026-08-19 08:02:41,South,0,20
2026-08-19 08:03:01,West,0,20
2026-08-19 08:03:21,North,8,60
2026-08-19 08:03:33,North,0,20
2026-08-19 08:03:53,East,0,20
2026-08-19 08:03:54,North,8,60
2026-08-19 08:03:56,North,8,60
2026-08-19 11:38:51,North,0,20
2026-08-19 11:39:11,East,0,20
2026-08-19 11:39:32,South,0,20
2026-08-19 11:39:52,West,0,20
2026-08-19 11:40:12,North,0,20
2026-08-19 11:40:32,East,0,20
2026-08-19 11:40:52,South,0,20
2026-08-19 11:41:00,North,0,20
2026-08-19 11:41:01,North,0,20
2026-08-19 11:41:21,East,0,20
2026-08-19 11:41:41,South,0,20
2026-08-19 11:42:01,West,0,20
2026-08-19 11:42:21,North,0,20
2026-08-19 11:42:42,East,0,20
2026-08-19 11:43:02,South,0,20
2026-08-19 11:43:22,West,0,20
2026-08-19 11:43:42,North,0,20
2026-08-19 11:44:02,East,0,20
2026-08-19 11:44:22,South,0,20
2026-08-19 11:44:42,West,0,20
2026-08-19 11:45:02,North,0,20
2026-08-19 11:45:22,East,0,20
2026-08-19 11:45:42,South,0,20
2026-08-19 11:46:02,West,0,20
2026-08-19 11:46:22,North,0,20
2026-08-19 11:46:42,East,0,20
2026-08-19 11:47:02,South,0,20
2026-08-19 11:47:22,West,0,20
2026-08-19 11:47:42,North,0,20
2026-08-19 11:48:02,East,0,20
2026-08-19 11:48:22,South,0,20
2026-08-19 11:48:42,West,0,20
2026-08-19 11:49:02,North,0,20
2026-08-19 11:49:22,East,0,20
2026-08-19 11:49:42,South,0,20
2026-08-19 11:50:28,North,0,20
2026-08-19 11:50:48,East,0,20
2026-08-19 11:51:08,South,0,20
2026-08-19 11:51:28,West,0,20
2026-08-19 11:51:48,North,0,20
2026-08-19 11:52:08,East,0,20
2026-08-19 11:52:28,South,0,20
2026-08-19 11:52:48,West,0,20
2026-08-19 11:53:09,North,0,20
2026-08-19 11:53:29,East,0,20
2026-08-19 11:53:49,South,0,20
2026-08-19 11:54:09,West,0,20
2026-08-19 11:54:29,North,0,20
2026-08-19 11:54:49,East,0,20
2026-08-19 11:55:09,South,0,20
2026-08-19 11:55:29,West,0,20
2026-08-19 11:55:49,North,0,20
2026-08-19 11:56:09,East,0,20
2026-08-19 11:56:29,South,0,20
2026-08-19 11:56:36,North,0,20
2026-08-19 11:56:45,South,25,37
2026-08-19 11:57:22,North,16,31
2026-08-19 11:57:38,South,25,37
2026-08-19 11:58:15,North,16,31
2026-08-19 11:58:46,East,11,27
2026-08-19 11:59:13,West,8,25
2026-08-19 11:59:38,South,25,37
2026-08-19 12:00:16,North,16,31
2026-08-19 12:00:47,East,11,27
2026-08-19 12:01:14,West,8,25
2026-08-19 12:01:39,South,25,37
2026-08-19 12:02:16,North,16,31
2026-08-19 12:02:47,East,11,27
2026-08-19 12:03:14,West,8,25
2026-08-19 12:03:39,South,25,37
2026-08-19 12:04:16,North,16,31
2026-08-19 12:04:47,East,11,27
2026-08-19 12:05:14,West,8,25
2026-08-19 12:05:39,South,25,37
2026-08-19 12:06:16,North,16,31
2026-08-19 12:06:47,East,11,27
2026-08-19 12:07:14,West,8,25
2026-08-19 12:07:39,South,25,37
2026-08-19 12:07:56,South,25,37
2026-08-19 12:08:21,North,0,20
2026-08-19 12:08:42,East,0,20
2026-08-19 12:09:02,South,0,20
2026-08-19 12:09:22,West,0,20
2026-08-19 12:09:42,North,28,39
2026-08-19 12:10:21,East,13,29
2026-08-19 12:10:50,South,11,28
2026-08-19 12:11:18,West,6,24
2026-08-19 12:11:42,North,28,35
2026-08-19 12:12:17,South,20,31
2026-08-19 12:12:48,East,19,30
2026-08-19 12:13:18,West,6,23
2026-08-19 12:13:41,North,28,35
2026-08-19 12:14:16,South,20,31
2026-08-19 12:14:47,East,19,30
